point_id,lat,lon,population,cluster_id,max_membership_prob,prob_cluster0,prob_cluster1,prob_cluster2,prob_cluster3,prob_cluster4
TNP_0056,10.375,78.875,425651.40564394,3,1.0,0.0,1.0186424149049375e-50,0.0,1.0,1.0624201327074273e-35
TNP_0057,11.875,79.125,424644.4549734592,2,1.0,0.0,6.025756326345225e-34,1.0,0.0,1.7737051997743667e-36
TNP_0058,12.125,79.625,421316.1258692741,2,1.0,0.0,6.195949771102652e-37,1.0,0.0,4.849586385135401e-39
TNP_0059,10.625,79.375,415753.8382663727,2,1.0,0.0,2.491100905851973e-30,1.0,0.0,4.906133779920315e-27
TNP_0060,12.375,78.375,415477.9771983624,1,0.9999999999999734,0.0,0.9999999999999734,0.0,1.9996398087218635e-63,2.6445984115037943e-14
TNP_0061,11.125,77.875,414226.7854287028,1,0.9999999999999947,0.0,0.9999999999999947,0.0,0.0,5.120086533122972e-15
TNP_0062,12.625,80.125,412132.4269834757,0,1.0,1.0,5.54792903510565e-78,0.0,0.0,6.276487041905137e-46
TNP_0063,11.375,77.375,411676.414712131,1,0.9999999999999973,0.0,0.9999999999999973,0.0,0.0,2.639720109203637e-15
TNP_0064,10.625,77.125,409948.4459089637,1,0.6112527771511986,0.0,0.6112527771511986,0.0,0.0,0.38874722284880314
TNP_0065,12.625,79.375,409050.7556846142,2,1.0,0.0,1.012650245197784e-33,1.0,0.0,1.1150417430071891e-37
TNP_0066,11.625,78.875,398426.9544980228,1,0.9999999999999999,0.0,0.9999999999999999,0.0,0.0,9.911844540047407e-17
TNP_0067,12.125,78.375,397447.7478468418,1,0.999999999999992,0.0,0.999999999999992,0.0,2.734237084640661e-53,7.584348853476253e-15
TNP_0068,10.125,77.625,388361.20780590177,4,0.9999999536813899,0.0,4.631860857022292e-08,0.0,0.0,0.9999999536813899
TNP_0069,12.125,79.375,387112.1581530571,2,1.0,0.0,1.9122145698220826e-36,1.0,0.0,1.8969367488858323e-38
TNP_0070,10.375,78.125,383953.9953950644,3,1.0,0.0,2.0860994616496294e-50,0.0,1.0,1.2737261822916707e-34
TNP_0071,12.375,79.125,380318.77103960514,2,1.0,0.0,2.2079221456827884e-29,1.0,0.0,3.5907521712094077e-32
TNP_0072,11.125,79.375,377556.557136178,2,1.0,0.0,2.291286227504906e-37,1.0,0.0,1.609190170845408e-36
TNP_0073,12.375,78.125,376712.411831975,1,0.9999999999999769,0.0,0.9999999999999769,0.0,1.2926449820325415e-66,2.2794575463278875e-14
TNP_0074,8.375,77.375,373703.33825439215,4,1.0,0.0,1.0072238644751868e-42,0.0,4.658451491994716e-148,1.0
TNP_0075,12.625,79.625,372911.4339413643,2,1.0,0.0,2.732215171979629e-34,1.0,0.0,3.967174782560906e-38
TNP_0076,11.625,78.375,372498.0526821613,1,1.0,0.0,1.0,0.0,0.0,3.6525932030146776e-17
TNP_0077,11.875,77.875,371649.5389996022,1,0.9999999999999987,0.0,0.9999999999999987,0.0,0.0,1.2843413788565075e-15
TNP_0078,12.375,78.625,369950.2013204098,1,0.9999999999999973,0.0,0.9999999999999973,0.0,6.34905282414553e-55,2.4743085127929802e-15
TNP_0079,10.625,77.375,367961.2143267989,1,0.999984699577778,0.0,0.999984699577778,0.0,0.0,1.5300422220547346e-05
