timestamp,year,month,var_type,status,filepath,size_mb,note
2026-08-03 06:33:05,2020,04,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_04_instant.nc,1.99,
2026-08-03 06:37:32,2020,04,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_04_accum.nc,1.19,
2026-08-03 06:40:34,2020,05,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_05_instant.nc,2.01,
2026-08-03 06:45:06,2020,05,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_05_accum.nc,1.25,
2026-08-03 06:48:11,2020,06,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_06_instant.nc,1.90,
2026-08-03 06:52:43,2020,06,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_06_accum.nc,1.27,
2026-08-03 06:55:49,2020,07,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_07_instant.nc,1.94,
2026-08-03 07:00:17,2020,07,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_07_accum.nc,1.34,
2026-08-03 07:04:51,2020,08,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_08_instant.nc,1.92,
2026-08-03 07:09:20,2020,08,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_08_accum.nc,1.28,
2026-08-03 07:12:21,2020,09,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_09_instant.nc,1.88,
2026-08-03 07:16:49,2020,09,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_09_accum.nc,1.29,
2026-08-03 07:19:52,2020,10,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_10_instant.nc,2.01,
2026-08-03 07:24:20,2020,10,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_10_accum.nc,1.26,
2026-08-03 07:27:20,2020,11,instant,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_11_instant.nc,1.91,
2026-08-03 07:31:49,2020,11,accum,OK,C:\Users\jaswi\OneDrive\Desktop\ALL\SEM_7\project\jammalamadugu\new_obj\tamilnadu_pipeline\data\raw\era5\points\era5_TN_points_2020_11_accum.nc,1.25,
